BadgeID,CACNumber,BadgeStatus,BadgeIssueDate,BadgeExpirationDate,AccessLevel,Facility,LastAccessReviewDate
9015,1014,Expired,2023-03-03 00:00:00.000000,2026-03-03 00:00:00.000000,Restricted Area,Huntsville Facility,2024-03-03 00:00:00.000000
9016,1015,Suspended,2023-04-02 10:17:08.571428,2026-04-02 10:17:08.571428,Secure Area,Huntsville Facility,2024-04-02 10:17:08.571428
9017,1016,Lost,2023-05-02 20:34:17.142857,2026-05-02 20:34:17.142857,Restricted Area,San Diego Facility,2024-05-02 20:34:17.142857
9018,1017,Lost,2023-06-02 06:51:25.714285,2026-06-02 06:51:25.714285,Restricted Area,Riverside Facility,2024-06-02 06:51:25.714285
9019,1018,Suspended,2023-07-02 17:08:34.285714,2026-07-02 17:08:34.285714,Restricted Area,San Diego Facility,2024-07-02 17:08:34.285714
9020,1019,Suspended,2023-08-02 03:25:42.857142,2026-08-02 03:25:42.857142,Secure Area,Palmdale Facility,2024-08-02 03:25:42.857142
9021,1020,Suspended,2023-09-01 13:42:51.428571,2026-09-01 13:42:51.428571,General Access,San Diego Facility,2024-09-01 13:42:51.428571
9022,1021,Lost,2023-10-02 00:00:00.000000,2026-10-02 00:00:00.000000,Executive Area,San Diego Facility,2024-10-02 00:00:00.000000
9023,1022,Active,2023-11-01 10:17:08.571428,2026-11-01 10:17:08.571428,General Access,Riverside Facility,2024-11-01 10:17:08.571428
9024,1023,Active,2023-12-01 20:34:17.142857,2026-12-01 20:34:17.142857,Secure Area,Riverside Facility,2024-12-01 20:34:17.142857
9025,1024,Active,2024-01-01 06:51:25.714285,2027-01-01 06:51:25.714285,General Access,Riverside Facility,2025-01-01 06:51:25.714285
9026,1025,Suspended,2024-01-31 17:08:34.285714,2027-01-31 17:08:34.285714,Secure Area,Arlington Facility,2025-01-31 17:08:34.285714
9027,1026,Lost,2024-03-02 03:25:42.857142,2027-03-02 03:25:42.857142,Executive Area,Riverside Facility,2025-03-02 03:25:42.857142
9028,1027,Active,2024-04-01 13:42:51.428571,2027-04-01 13:42:51.428571,Restricted Area,Huntsville Facility,2025-04-01 13:42:51.428571
9029,1028,Expired,2024-05-02 00:00:00.000000,2027-05-02 00:00:00.000000,Restricted Area,Arlington Facility,2025-05-02 00:00:00.000000
9030,1029,Active,2024-06-01 10:17:08.571428,2027-06-01 10:17:08.571428,Secure Area,Riverside Facility,2025-06-01 10:17:08.571428
9031,1030,Suspended,2024-07-01 20:34:17.142857,2027-07-01 20:34:17.142857,Executive Area,San Diego Facility,2025-07-01 20:34:17.142857
9032,1031,Expired,2024-08-01 06:51:25.714285,2027-08-01 06:51:25.714285,Executive Area,Colorado Springs Facility,2025-08-01 06:51:25.714285
9033,1032,Suspended,2024-08-31 17:08:34.285714,2027-08-31 17:08:34.285714,Secure Area,Arlington Facility,2025-08-31 17:08:34.285714
9034,1033,Lost,2024-10-01 03:25:42.857142,2027-10-01 03:25:42.857142,Secure Area,Colorado Springs Facility,2025-10-01 03:25:42.857142
9035,1034,Expired,2024-10-31 13:42:51.428571,2027-10-31 13:42:51.428571,Restricted Area,Riverside Facility,2025-10-31 13:42:51.428571
9036,1035,Active,2024-12-01 00:00:00.000000,2027-12-01 00:00:00.000000,Secure Area,Arlington Facility,2025-12-01 00:00:00.000000
9037,1036,Active,2024-12-31 10:17:08.571428,2027-12-31 10:17:08.571428,General Access,Palmdale Facility,2025-12-31 10:17:08.571428
9038,1037,Suspended,2025-01-30 20:34:17.142857,2028-01-30 20:34:17.142857,General Access,Palmdale Facility,2026-01-30 20:34:17.142857
9039,1038,Active,2025-03-02 06:51:25.714285,2028-03-02 06:51:25.714285,Executive Area,Colorado Springs Facility,2026-03-02 06:51:25.714285
9040,1039,Expired,2025-04-01 17:08:34.285714,2028-04-01 17:08:34.285714,Executive Area,Arlington Facility,2026-04-01 17:08:34.285714
9041,1040,Active,2025-05-02 03:25:42.857142,2028-05-02 03:25:42.857142,Restricted Area,El Segundo Facility,2026-05-02 03:25:42.857142
9042,1041,Suspended,2025-06-01 13:42:51.428571,2028-06-01 13:42:51.428571,General Access,Riverside Facility,2026-06-01 13:42:51.428571
9043,1042,Active,2025-07-02 00:00:00.000000,2028-07-02 00:00:00.000000,General Access,Palmdale Facility,2026-07-02 00:00:00.000000
9044,1043,Suspended,2025-08-01 10:17:08.571428,2028-08-01 10:17:08.571428,Executive Area,Arlington Facility,2026-08-01 10:17:08.571428
9045,1044,Lost,2025-08-31 20:34:17.142857,2028-08-31 20:34:17.142857,Secure Area,Arlington Facility,2026-08-31 20:34:17.142857
9046,1045,Active,2025-10-01 06:51:25.714285,2028-10-01 06:51:25.714285,Executive Area,El Segundo Facility,2026-10-01 06:51:25.714285
9047,1046,Lost,2025-10-31 17:08:34.285714,2028-10-31 17:08:34.285714,General Access,San Diego Facility,2026-10-31 17:08:34.285714
9048,1047,Active,2025-12-01 03:25:42.857142,2028-12-01 03:25:42.857142,Restricted Area,San Diego Facility,2026-12-01 03:25:42.857142
9049,1048,Active,2025-12-31 13:42:51.428571,2028-12-31 13:42:51.428571,Restricted Area,El Segundo Facility,2026-12-31 13:42:51.428571
9050,1049,Expired,2026-01-31 00:00:00.000000,2029-01-31 00:00:00.000000,Restricted Area,Riverside Facility,2027-01-31 00:00:00.000000
